filename	source_url	bytes	status
training-games_05AB39453E6F6F95B5A287ECF6D19EBD.sgf	https://katagotraining.org/sgf-files/training-games/05AB39453E6F6F95B5A287ECF6D19EBD.sgf	12425	existing
training-games_F4AB7C10A677D173370ED8FC1958AB28.sgf	https://katagotraining.org/sgf-files/training-games/F4AB7C10A677D173370ED8FC1958AB28.sgf	15437	existing
training-games_DE120B6FB1C93C1A0864BF3779024AEB.sgf	https://katagotraining.org/sgf-files/training-games/DE120B6FB1C93C1A0864BF3779024AEB.sgf	10905	existing
training-games_307DECE4EC5250E42ADEC7FE0F37C304.sgf	https://katagotraining.org/sgf-files/training-games/307DECE4EC5250E42ADEC7FE0F37C304.sgf	14147	existing
training-games_C156C49CA9572F4007D4B44D88BF4714.sgf	https://katagotraining.org/sgf-files/training-games/C156C49CA9572F4007D4B44D88BF4714.sgf	14413	existing
training-games_0FAE7262643F91069C67B0DDB20C370C.sgf	https://katagotraining.org/sgf-files/training-games/0FAE7262643F91069C67B0DDB20C370C.sgf	12386	existing
rating-games_A42F1FA4C8B846604EE83692598BC0A0.sgf	https://katagotraining.org/sgf-files/rating-games/A42F1FA4C8B846604EE83692598BC0A0.sgf	6733	existing
rating-games_6530CEB6306928122F220ACDD7BC410D.sgf	https://katagotraining.org/sgf-files/rating-games/6530CEB6306928122F220ACDD7BC410D.sgf	9966	existing
training-games_0244D77208AE1768D072853816DD153A.sgf	https://katagotraining.org/sgf-files/training-games/0244D77208AE1768D072853816DD153A.sgf	15518	existing
training-games_62F3001AC9EF51B10FAC52E0AB6E09D2.sgf	https://katagotraining.org/sgf-files/training-games/62F3001AC9EF51B10FAC52E0AB6E09D2.sgf	14560	existing
rating-games_D09C2CD1441F999243C53D1C22ABB511.sgf	https://katagotraining.org/sgf-files/rating-games/D09C2CD1441F999243C53D1C22ABB511.sgf	10050	existing
rating-games_A10AEB73FF639E61464A0A7F5F0A54A2.sgf	https://katagotraining.org/sgf-files/rating-games/A10AEB73FF639E61464A0A7F5F0A54A2.sgf	5733	existing
rating-games_E167C5D2D586CCCFC5517D103E1EBF4C.sgf	https://katagotraining.org/sgf-files/rating-games/E167C5D2D586CCCFC5517D103E1EBF4C.sgf	6932	existing
rating-games_A9DCA68A391EDEFC58A4B77B6ED98F4C.sgf	https://katagotraining.org/sgf-files/rating-games/A9DCA68A391EDEFC58A4B77B6ED98F4C.sgf	8081	existing
training-games_9D092974EEA419681DB0F3E160278C23.sgf	https://katagotraining.org/sgf-files/training-games/9D092974EEA419681DB0F3E160278C23.sgf	7710	existing
training-games_5DFDC0410839E0CE82C12D8E23E439BA.sgf	https://katagotraining.org/sgf-files/training-games/5DFDC0410839E0CE82C12D8E23E439BA.sgf	16803	existing
rating-games_923FFCBDC9394306FEDF1E063DCA90BF.sgf	https://katagotraining.org/sgf-files/rating-games/923FFCBDC9394306FEDF1E063DCA90BF.sgf	6266	existing
training-games_E36DB300945C10894281B0D147CE5C49.sgf	https://katagotraining.org/sgf-files/training-games/E36DB300945C10894281B0D147CE5C49.sgf	6943	existing
rating-games_15C932AD48517660DB7AF5D24B75D469.sgf	https://katagotraining.org/sgf-files/rating-games/15C932AD48517660DB7AF5D24B75D469.sgf	7854	existing
